EventID,ActorID,Context,Acting/Face
110502,100,하지만 지금은 조용한 곳에 그리고 싶어…,기본/기본
110201,100,이렇게 구석진 곳이라면…,기본/기본
110201,100,조금 정도는…,기본/기본
110202,100,들키진…않겠지?,기본/두려움
110101,100,이 시간에는 닫는구나…,기본/기본
110601,100,다리와 강...,기본/기본
110601,100,다리 밑에서 그림을 그리면…,기본/눈감기
110601,100,…하지만 너무 잘 보일 것 같아.,기본/기본
110602,100,사람도 적고 들키지도 않을 만한 곳…,기본/기본
110602,100,그런 특별한 곳이 있을까…,기본/눈감기
112101,100,여기라면…,기본/기본
112101,100,조금만…,기본/기본
112102,100,...안 들키겠지?,기본/두려움
112301,100,여긴 네온사인이 켜져 있구나.,기본/기본
112301,100,하지만 닫혀있네...,기본/기본
112302,100,집 주변보다 더 인기척이 없는데…,기본/기본
112302,100,그래도 좀 더 구석진 곳이 없을까?,기본/기본
112401,100,여긴… 안이 빈 것 같아.,기본/기본
112401,100,영업하지 않는걸까…,기본/기본
112402,100,낮에 오면 좀 더 확실히 알 수 있겠지…,기본/기본
112403,100,하지만 만약 닫은거라면… 이 주변엔 사람이 적은 걸까?,기본/기본
112403,100,그렇다면… 내가 생각한 특별한 곳이 주변에 있지 않을까?,기본/기본
112404,100,한 번 찾아보자.,고개를 끄덕인다/기본
114101,100,이런 곳에 그래피티가 있네.,기본/기본
114101,100,어두워서 잘 안보이지만 오래된 것 같은데…,기본/기본
114101,100,이런게 있다면 여기 주변에선 그려도 되지 않을까?,기본/기본
114102,100,밝은 곳을 찾아보자.,고개를 끄덕인다/기본
114201,100,넓은 공간에 이 그래피티 밖에 없네…,기본/기본
114201,100,무언가 사정이 있던 걸까?,기본/기본
114202,100,너무 어두워...,기본/기본
114202,100,좀 더 밝은 곳은 없을까?,기본/기본
112601,100,…'이곳에 낙서하지 마세요.',기본/기본
112601,100,   …   ,기본/기본
112602,100,그래피티와 낙서의 차이는 뭘까…?,기본/기본
